author_followers,author_nickname,author_username,caption,comments,create_time,duration,hashtags,likes,links,music,product_score,product_signals,shares,url,video_id,views,viral_score
1200000,Jasmin,jasminnlily_,"All Pink PDRN Skincare 💕 just in time for Prime Day my full pink routine using  @medicube global AD Mini Booster Pro, One Day Serum, Toning Gel Pads, Night Wrapping Mask & Collagen Capsule Cream = glowy, bouncy skin unlocked ✨ Everything is on promo now via Amazon 🛒 #medicube #miniboosterpro #pdrnpinkonedayserum #pdrnpinkcollagentoninggelpad #PDRNPinkCaffeinenightwrappingmask #salmonpdrn #salmondna #medicubedevice #medicubeskincare #ulta #amazon #amazonfavorites #amazonmusthaves #amazonprimeday @medicube US Store ",2813,1752003684,33,"medicube,miniboosterpro,pdrnpinkonedayserum,pdrnpinkcollagentoninggelpad,PDRNPinkCaffeinenightwrappingmask,salmonpdrn,salmondna,medicubedevice,medicubeskincare,ulta,amazon,amazonfavorites,amazonmusthaves,amazonprimeday",535700,,LOVE THERAPHY,6,"promo,amazon,#amazonmusthaves",28100,https://www.tiktok.com/@jasminnlily_/video/7524798506750528790,7524798506750528790,36400000,365.72
2700000,darcey angel,darceyangel,a green routine 💚✨ #skincare #asmr,25700,1652037998,15,"skincare,asmr",6500000,,Happy Skin ASMR,0,,41900,https://www.tiktok.com/@darceyangel/video/7095449168591736070,7095449168591736070,73100000,740.13
3500000,Tati en Corea,tatiencorea,Les traigo una rutina COMPLETA con mis productos favoritos de Mixsoon (paso por paso). Si desean conseguir los productos están con SUPER DESCUENTO ahorita en AMAZON (les dejé un enlace en mi perfil). ‼️ Verifiquen que el nombre del vendedor sea el mismo nombre de la marca: Mixsoon para evotar comprar COPIAS ‼️ Productos: ✨ Bean Cleansing Oil ✨ Centella Cleansing Foam ✨ Bean essence ✨ Glacier Water Hyaluronic Acid Serum ✨ Soyben Milk Serum ✨ Bean cream Marca: ✨ Mixsoon @mixsoon.us  #mixsoon #koreanskincare #glassskin #TikTokMadeMeBuyIt #skintok #kbeauty #kbeautytok #mixsoonbeanessence #beanessence  #veganmucin #snailmucin #skincareroutine #kbeautyaddict #rutinacoreana #skincarecoreano #pielgrasa  #amazon #pielmixta #pielseca #exfoliante #exfoliantefacial #pielsuave #pielsana #rutinadenoche  #rutinadeskincare #español #coreana ,49700,1734963350,278,"mixsoon,koreanskincare,glassskin,TikTokMadeMeBuyIt,skintok,kbeauty,kbeautytok,mixsoonbeanessence,beanessence,veganmucin,snailmucin,skincareroutine,kbeautyaddict,rutinacoreana,skincarecoreano,pielgrasa,amazon,pielmixta,pielseca,exfoliante,exfoliantefacial,pielsuave,pielsana,rutinadenoche,rutinadeskincare,español,coreana",6100000,,Jazz Bossa Nova,6,"amazon,tiktokmademebuyit,#TikTokMadeMeBuyIt",563600,https://www.tiktok.com/@tatiencorea/video/7451610829172034824,7451610829172034824,445000000,4451.77
673900,𝐨𝐥𝐚 ౨ৎ,olaaxdiary,refreshing your fyp with a girly girl night 🫧🩰 #girlygirl #nightroutine #girltherapy #girlynight #skincare ,1472,1777046155,23,"girlygirl,nightroutine,girltherapy,girlynight,skincare",112200,,Lady Killers II,0,,2853,https://www.tiktok.com/@olaaxdiary/video/7632355090896129313,7632355090896129313,430700,33.03
1700000,Dani,danicolexx,Michelin star PDRN ☺️ thanks to @VT Cosmetics US PDRN Capsule Cream 100 #glowingskin #tipsskincare #vtpdrn #vtcosmetics #vtcosmeticspartner ,125,1767038172,17,"glowingskin,tipsskincare,vtpdrn,vtcosmetics,vtcosmeticspartner",17700,,MAMA MA (Slowed),0,,389,https://www.tiktok.com/@danicolexx/video/7589371129551244566,7589371129551244566,1300000,14.47
404700,Julia👼🏼,julieebaby6,🤍🤍✨ #skincareroutine #koreanskincare ,1836,1745089669,54,"skincareroutine,koreanskincare",243300,,Nutcracker Waltz of the Flowers,0,,7038,https://www.tiktok.com/@julieebaby6/video/7495103045701766422,7495103045701766422,2600000,36.31
1700000,Dani,danicolexx,It’s fantastic 😚 DIY mask with rice  #skincare #diyskincare #ricemask ,689,1774146305,19,"skincare,diyskincare,ricemask",219600,,sonido original,0,,13000,https://www.tiktok.com/@danicolexx/video/7619900250978782486,7619900250978782486,4600000,51.65
3900000,Youngcouture,youngcouture,Cucumber peel 🥒 🍉 💦 #asmr #asmrvideo #asmrskincare #skincareasmr #skincare #beautytreatments,396,1643047071,12,"asmr,asmrvideo,asmrskincare,skincareasmr,skincare,beautytreatments",209400,,Originalton,0,,2302,https://www.tiktok.com/@youngcouture/video/7056833427718589742,7056833427718589742,9100000,93.39
719900,Amaya♡,amayacrichton,"So satisfying, so clean #skincareroutine ",1333,1732112089,52,skincareroutine,152800,,original sound,0,,6695,https://www.tiktok.com/@amayacrichton/video/7439364746521988398,7439364746521988398,2300000,30.63
130000,lada,what_is_lada,SKIN1004 tone brightening ampoule ❄️ #darkspots #hyperpigmentaiton #skincareroutine #koreanskincare #centella #skin1004 #tiktokmademebuyit ,2494,1740543672,15,"darkspots,hyperpigmentaiton,skincareroutine,koreanskincare,centella,skin1004,tiktokmademebuyit",589800,,Vidrado Em Você,4,"tiktokmademebuyit,#tiktokmademebuyit",58800,https://www.tiktok.com/@what_is_lada/video/7475578124500028690,7475578124500028690,12600000,132.12
