author_followers,author_nickname,author_username,caption,comments,create_time,duration,hashtags,likes,links,music,product_score,product_signals,shares,url,video_id,views,viral_score
82200,DANIELLE,daniellelifehack,👍👍👍#blackfriday #homehacks #cleantok #britishhacks #tiktokshop #tiktokmademebuyit #london #fypuk #fypuk ,4742,1669906822,6,"blackfriday,homehacks,cleantok,britishhacks,tiktokshop,tiktokmademebuyit,london,fypuk,fypuk",2000000,,Love You So,8,"tiktokshop,tiktokmademebuyit,#tiktokshop,#tiktokmademebuyit",185800,https://www.tiktok.com/@daniellelifehack/video/7172195168496471301,7172195168496471301,117000000,1172.19
45400,Blendiit,blendiit_,Reply to @alfiedt2k #fyp #tiktokmademebuyit #amazonfinds,5389,1650229770,6,"fyp,tiktokmademebuyit,amazonfinds",750600,,original sound,8,"amazon,tiktokmademebuyit,#tiktokmademebuyit,#amazonfinds",30400,https://www.tiktok.com/@blendiit_/video/7087682887612402950,7087682887612402950,21500000,218.97
754000,Nice Life,nicelife.hacks,Egg shell opener #fyp #tiktokmademebuyit #homefinds #amazonfinds ,7845,1727276637,15,"fyp,tiktokmademebuyit,homefinds,amazonfinds",220200,,original sound,8,"amazon,tiktokmademebuyit,#tiktokmademebuyit,#amazonfinds",112900,https://www.tiktok.com/@nicelife.hacks/video/7418596614425677086,7418596614425677086,21400000,216.69
2100000,airlandolists,airlandolists,Easy to wash underwear😏#gadgets #coolstuff #coolgadgets #product #shopping #amazonfinds #learnontiktok #tiktokmademebuyit #fyp ,4567,1743958040,10,"gadgets,coolstuff,coolgadgets,product,shopping,amazonfinds,learnontiktok,tiktokmademebuyit,fyp",178900,,original sound,8,"amazon,tiktokmademebuyit,#amazonfinds,#tiktokmademebuyit",84000,https://www.tiktok.com/@airlandolists/video/7490242572682628395,7490242572682628395,18700000,189.35
477400,Tech Drop,techdropp,Efficient or Lazy? 🤔 This could be the ultimate life hack 😂 #tech #amazonfinds #lifehack #tiktokmademebuyit #techfinds,1142,1760553565,12,"tech,amazonfinds,lifehack,tiktokmademebuyit,techfinds",108300,,original sound,8,"amazon,tiktokmademebuyit,#amazonfinds,#tiktokmademebuyit",14700,https://www.tiktok.com/@techdropp/video/7561519969352174851,7561519969352174851,5000000,53.09
3062,33yvoovy,33yvoovy,🔥 Beat the Heat Anywhere! 🔥 This Portable Silent Mini Bladeless Fan Clips to Your Waist & Cools You Down in Seconds! 3 Adjustable Speeds + 360° Rotation = Outdoor Travel Must-Have! 😍💨 #gadgets#summercooling#TikTokMadeMeBuyIt#fyp#tiktokshop #fan #summer #outdoor,535,1774523641,21,"gadgets,summercooling,TikTokMadeMeBuyIt,fyp,tiktokshop,fan,summer,outdoor",56000,,original sound - 33yvoovy,8,"tiktokshop,tiktokmademebuyit,#TikTokMadeMeBuyIt,#tiktokshop",20700,https://www.tiktok.com/@33yvoovy/video/7621520932993076494,7621520932993076494,3300000,36.61
1682,botanytime234,qinmgamhzwm,#massage #spotlightfinds #musthave #dealsforyoudays #tiktokshop #tiktokmademebuyit #spotlightfinds #earphones #usa  ,262,1752584180,23,"massage,spotlightfinds,musthave,dealsforyoudays,tiktokshop,tiktokmademebuyit,spotlightfinds,earphones,usa",2698,,original sound,8,"tiktokshop,tiktokmademebuyit,#tiktokshop,#tiktokmademebuyit",2064,https://www.tiktok.com/@qinmgamhzwm/video/7527291422127574285,7527291422127574285,438600,6.53
1664,ELVAREL,elvarel.store,Best product 2026 #tiktokmademebuyit #viralproducts #amazonfinds #bathroom #unitedstates ,169,1772914951,14,"tiktokmademebuyit,viralproducts,amazonfinds,bathroom,unitedstates",3507,,So Easy (To Fall In Love),8,"amazon,tiktokmademebuyit,#tiktokmademebuyit,#amazonfinds",599,https://www.tiktok.com/@elvarel.store/video/7614611657121271060,7614611657121271060,194100,4.85
137400,Best Pet Supplies ♥️,pet__supplies,"I have two cats and hair loss annoys me, TikTok made me buy it, not disappointed !!!#petsupplies #tiktokmademebuyit #catmom ",10400,1675847270,15,"petsupplies,tiktokmademebuyit,catmom",1300000,,original sound,6,"tiktokmademebuyit,tiktok made me buy,#tiktokmademebuyit",274900,https://www.tiktok.com/@pet__supplies/video/7197709185008536837,7197709185008536837,25700000,265.35
132200,Lisen US,lisen.tech,Amazing cell phone holder!#lisen #fyp #amazonfavorites #tech #phoneholder #caraccessories #carstuff #carholder #carmount #tiktokmademebuyit ,2864,1734572880,12,"lisen,fyp,amazonfavorites,tech,phoneholder,caraccessories,carstuff,carholder,carmount,tiktokmademebuyit",71800,,original sound,6,"amazon,tiktokmademebuyit,#tiktokmademebuyit",16000,https://www.tiktok.com/@lisen.tech/video/7449933774449741102,7449933774449741102,4700000,49.67
1100000,coolgadget.com,coolgadget_official,I will place a pedestal in my toilet and bed! #coolgadget #tiktokmademebuyit #tiktokshopblackfriday #tiktokshopcybermonday #phoneholder ,1430,1697713312,14,"coolgadget,tiktokmademebuyit,tiktokshopblackfriday,tiktokshopcybermonday,phoneholder",79000,,original sound,6,"tiktokshop,tiktokmademebuyit,#tiktokmademebuyit",7708,https://www.tiktok.com/@coolgadget_official/video/7291622973214330158,7291622973214330158,4100000,43.56
5790,lisacurtis8867,lisacurtis8867,#tiktokshopstockup #mothersdaygift#tiktok#tiktokmademebuyit#fyp,569,1777214590,40,"tiktokshopstockup,mothersdaygift,tiktok,tiktokmademebuyit,fyp",22400,,原創音樂,6,"tiktokshop,tiktokmademebuyit,#tiktokmademebuyit",7915,https://www.tiktok.com/@lisacurtis8867/video/7633078401858899230,7633078401858899230,4000000,41.18
2138,PinfluenceX,pinfluencexofficial,"Best Amazon Finds 2026‼️🔥🔥This unique 2-in-1 water spray hairbrush, popularized as the ""AquaBrush,"" is a viral multi-tool designed to streamline your hair care routine by combining a detangler with a built-in mister.#tiktokmademebuyit #viral #fyp #brush #spray ",451,1771080574,12,"tiktokmademebuyit,viral,fyp,brush,spray",11800,,original sound,6,"amazon,tiktokmademebuyit,#tiktokmademebuyit",5895,https://www.tiktok.com/@pinfluencexofficial/video/7606733129864203527,7606733129864203527,516600,11.05
